Architecture,High Hal. Rate,High N,Medium Hal. Rate,Medium N,Low Hal. Rate,Low N,CWHS,High Corr.,Medium Corr.,Low Corr.,CSS
Evidence-Graded RAG,0.0129,56,0.0135,122,0.0193,22,0.0136,0.7446,0.8221,0.9682,0.0883
Query Decomposition,0.0182,56,0.0164,122,0.0,22,0.0163,0.7607,0.7385,0.7636,0.1104
Query Expansion (Multi),0.0176,56,0.0114,122,0.0,22,0.0132,0.7143,0.723,0.8864,0.1168
Hybrid + Cross-Encoder,0.0221,56,0.0194,122,0.0,22,0.0195,0.7054,0.7311,0.8364,0.1211
Naive RAG k=5,0.0186,56,0.0208,122,0.0227,22,0.02,0.7071,0.7016,0.8091,0.1283
Hybrid RRF,0.021,56,0.0208,122,0.0,22,0.0198,0.6571,0.682,0.8682,0.1392
Query Expansion (Single),0.0134,56,0.0143,122,0.0182,22,0.0141,0.5982,0.7,0.7727,0.1428
Naive RAG k=8,0.0095,56,0.0157,122,0.0227,22,0.0137,0.6661,0.6484,0.7818,0.1434
Naive RAG k=3,0.0197,56,0.0116,122,0.0136,22,0.0148,0.6589,0.6525,0.7818,0.1443
MeSH-Guided RAG,0.0361,56,0.0108,122,0.0205,22,0.0211,0.6304,0.6656,0.7955,0.1492
Naive RAG With Critic,0.0513,56,0.0595,122,0.037,22,0.0552,0.6625,0.6492,0.7136,0.1701
