Architecture,Mean Faithfulness,Unweighted Hal. Rate,CWHS,Δ (CWHS − Unweighted),N Questions,Mean Correctness,CSS,Faith P10,Corr P10
Evidence-Graded RAG,0.986,0.014,0.0136,-0.0004,200,0.8165,0.0883,0.9082,0.3
Query Decomposition,0.9849,0.0151,0.0163,0.0012,200,0.7475,0.1104,1.0,0.2
Query Expansion (Multi),0.9881,0.0119,0.0132,0.0013,200,0.7385,0.1168,1.0,0.2
Hybrid + Cross-Encoder,0.982,0.018,0.0195,0.0014,200,0.7355,0.1211,1.0,0.2
Naive RAG k=5,0.9796,0.0204,0.02,-0.0003,200,0.715,0.1283,1.0,0.2
Hybrid RRF,0.9814,0.0186,0.0198,0.0013,200,0.6955,0.1392,1.0,0.2
Query Expansion (Single),0.9855,0.0145,0.0141,-0.0003,200,0.6795,0.1428,1.0,0.19
Naive RAG k=8,0.9852,0.0148,0.0137,-0.0011,200,0.668,0.1434,1.0,0.2
Naive RAG k=3,0.9859,0.0141,0.0148,0.0007,200,0.6685,0.1443,1.0,0.2
MeSH-Guided RAG,0.9811,0.0189,0.0211,0.0021,200,0.67,0.1492,1.0,0.1
Naive RAG With Critic,0.9453,0.0547,0.0552,0.0005,200,0.66,0.1701,0.8164,0.19
